year,tmID,confID,rank,playoff,firstRound,semis,finals,o_oreb,o_dreb,d_oreb,d_dreb,lost,GP,min,arena,powerRanking,offensiveFieldGoalPercentage,offensiveFreeThrowPercentage,offensiveThreePointPercentage,offensiveReboundsPerGame,offensiveAssistsPerGame,offensivePersonalFoulsPerGame,offensiveStealsPerGame,offensiveTurnoversPerGame,offensiveBlocksPerGame,offensivePointsPerGame,defensiveFieldGoalPercentage,defensiveFreeThrowPercentage,defensiveThreePointPercentage,defensiveReboundsPerGame,defensiveAssistsPerGame,defensivePersonalFoulsPerGame,defensiveStealsPerGame,defensiveTurnoversPerGame,defensiveBlocksPerGame,defensivePointsPerGame,winPercentage,homeWinPercentage,awayWinPercentage,conferenceWinPercentage,attendance
7,4,0,1,1,1,0,-1,342,926,370,783,8,34,6825,10,56.288214744318424,72.03748835613858,100.0,65.1138698524798,93.20754716981139,93.93939393939397,0.0,36.64596273291926,53.73134328358208,97.22222222222223,56.58307210031344,22.11891936156562,0.0,30.07341473620146,50.7575757575758,35.7615894039735,41.61073825503357,54.545454545454554,24.615384615384624,25.925925925925913,17.93960923623446,76.47058823529412,91.66666666666664,100.0,100.0,67.23860221178967
8,4,0,3,1,0,-1,-1,354,868,337,842,16,34,6925,10,46.084116238358746,73.73164435476788,71.74071041015641,50.77063800594548,62.28813559322026,69.66824644549763,15.862068965517222,45.91836734693878,36.734693877551024,95.31249999999997,42.81045751633986,46.9577971155734,24.685506903113392,32.83655065845611,42.032967032967065,69.28104575163404,17.28395061728396,5.063291139240525,18.831168831168835,0.0,41.76029962546819,52.94117647058824,42.85714285714284,77.77777777777779,45.45454545454546,69.50222320807413
9,4,0,2,1,0,-1,-1,370,869,360,840,13,34,6850,10,42.73759627296034,70.00825714798125,50.11389206660717,26.31294965080181,79.02439024390242,95.71428571428564,13.917525773195862,0.0,9.090909090909099,14.388489208633098,50.15576323987544,51.25328797845462,0.4883099842853334,37.21708498170985,56.053811659192846,37.198067632850226,56.934306569343065,27.058823529411786,0.0,0.0,22.38805970149253,61.76470588235294,80.0,83.33333333333331,78.57142857142857,67.45222486396149
10,4,0,6,0,-1,-1,-1,358,826,329,945,18,34,6975,10,37.37004541791245,5.865040204114296,29.78063994662787,19.63076825306037,64.28571428571422,90.11627906976744,51.366120218579184,21.153846153846136,0.0,39.2857142857143,21.58385093167703,43.96836352436667,62.805060934166455,4.535702497524494,95.7198443579766,29.655172413793117,50.0,0.0,50.00000000000002,32.6086956521739,32.07207207207209,47.05882352941176,71.42857142857146,0.0,32.69230769230769,38.63854799634616
1,5,0,5,0,-1,-1,-1,341,644,331,640,18,32,6425,16,59.17765505483185,69.68503898495794,45.770033186584854,4.358255660925348,64.42953020134227,57.6530612244898,71.01449275362319,38.983050847457626,61.58536585365854,26.595744680851062,77.947932618683,100.0,51.98484846302761,90.19064422446371,68.05555555555556,53.888888888888886,57.46268656716418,74.39024390243902,92.85714285714286,100.0,99.29906542056075,43.75,36.36363636363637,36.36363636363637,46.15384615384615,10.658675597861214
2,5,0,7,0,-1,-1,-1,324,621,279,702,22,32,6550,16,44.162098902792714,39.625830599688676,72.08860938554619,69.40740343411582,25.233644859813083,30.978260869565215,50.0,19.491525423728813,66.33663366336634,0.0,35.0,100.0,64.23304100038723,85.40413671703094,41.86046511627907,28.24858757062147,29.2817679558011,52.0,59.61538461538461,45.83333333333333,100.0,31.25,9.090909090909092,20.0,19.999999999999993,9.072938934246787
3,5,0,8,0,-1,-1,-1,360,719,314,669,23,32,6450,16,43.5545445163557,0.0,51.21633791906625,15.965649004997696,76.64233576642336,32.69230769230769,68.26923076923077,0.0,100.0,51.578947368421055,24.721603563474385,53.225806451612925,100.0,28.029051799850684,42.857142857142854,45.08196721311475,45.962732919254655,100.0,16.23931623931624,87.17948717948718,82.7433628318584,28.125,30.0,8.333333333333332,0.0,0.0
4,5,0,1,1,1,1,1,379,851,390,674,9,34,6900,16,65.84466916684187,100.0,24.08883264303594,100.0,100.0,73.58490566037739,48.31932773109243,61.78861788617886,100.0,88.8888888888889,100.0,0.15443349398197562,34.54402730916989,0.0,40.62499999999997,35.555555555555564,100.0,100.0,39.24731182795698,49.999999999999986,71.06741573033706,73.52941176470588,90.90909090909093,90.90909090909092,100.0,22.904818861583394
5,5,0,3,1,0,-1,-1,397,773,325,730,17,34,6850,16,59.254685137906556,53.795727075295616,0.0,0.0,100.0,69.00000000000004,48.18652849740931,64.76190476190476,47.089947089947074,100.0,67.99007444168743,38.466895793669146,100.0,76.94791559024536,62.773722627737236,49.57983193277311,100.0,58.87850467289718,40.49079754601227,39.215686274509814,98.61111111111104,50.0,22.222222222222214,85.71428571428571,61.00000000000001,46.64197309595643
6,5,0,4,1,0,-1,-1,412,803,273,745,18,34,6925,16,56.19056898711624,5.755958911833826,0.0,30.21543162719628,100.0,29.285714285714313,100.0,32.62411347517729,100.0,76.69902912621359,37.717121588089384,10.289025496764538,79.43697052187905,56.992336558602254,48.717948717948694,28.57142857142856,100.0,87.20930232558138,51.65876777251187,76.0,61.783439490445836,47.05882352941176,70.0,27.272727272727266,65.00000000000003,82.47608540637992
